"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 24, 2021","2,138.70","2,217.00","2,221.90","2,114.50","871.51K","-3.51%"
"Sep 23, 2021","2,216.50","2,204.00","2,246.00","2,195.70","1.44M","1.29%"
"Sep 22, 2021","2,188.30","2,255.00","2,307.15","2,180.10","2.11M","-2.14%"
"Sep 21, 2021","2,236.25","2,175.00","2,249.55","2,140.20","2.50M","3.08%"
"Sep 20, 2021","2,169.50","2,196.05","2,204.50","2,141.25","2.86M","-1.21%"
"Sep 17, 2021","2,196.05","1,995.00","2,273.95","1,983.55","8.38M","10.92%"
"Sep 16, 2021","1,979.85","1,988.00","1,999.00","1,957.00","513.55K","0.12%"
"Sep 15, 2021","1,977.45","1,954.00","2,023.10","1,935.00","1.03M","1.77%"
"Sep 14, 2021","1,943.00","1,895.00","1,948.95","1,893.45","639.67K","2.39%"
"Sep 13, 2021","1,897.70","1,921.70","1,922.05","1,865.00","717.00K","-0.73%"
"Sep 09, 2021","1,911.60","1,941.00","1,955.95","1,904.90","633.43K","-2.00%"
"Sep 08, 2021","1,950.65","1,958.00","1,959.45","1,924.55","367.90K","0.00%"
"Sep 07, 2021","1,950.65","1,984.10","1,985.00","1,927.95","649.76K","-0.92%"
"Sep 06, 2021","1,968.70","1,984.50","1,985.00","1,955.00","598.18K","0.16%"
"Sep 03, 2021","1,965.65","1,944.70","1,986.50","1,927.10","734.99K","1.11%"
"Sep 02, 2021","1,944.05","1,919.00","1,954.00","1,898.00","585.55K","1.46%"
"Sep 01, 2021","1,916.00","1,906.00","1,934.90","1,894.90","687.25K","0.62%"
"Aug 31, 2021","1,904.15","1,830.00","1,924.05","1,807.05","1.68M","4.67%"
"Aug 30, 2021","1,819.25","1,789.00","1,827.00","1,775.00","603.87K","2.39%"
"Aug 27, 2021","1,776.85","1,759.35","1,783.00","1,734.55","602.06K","1.66%"
"Aug 26, 2021","1,747.80","1,729.45","1,761.00","1,718.00","781.72K","1.79%"
"Aug 25, 2021","1,717.00","1,698.00","1,742.45","1,692.40","853.63K","1.45%"
"Aug 24, 2021","1,692.50","1,679.00","1,696.00","1,654.00","272.69K","1.26%"
"Aug 23, 2021","1,671.45","1,656.00","1,687.90","1,630.00","484.94K","0.78%"
"Aug 20, 2021","1,658.50","1,697.45","1,723.05","1,648.95","852.32K","-2.29%"
"Aug 18, 2021","1,697.45","1,706.00","1,714.55","1,691.10","412.38K","-0.47%"
"Aug 17, 2021","1,705.55","1,685.00","1,717.95","1,680.00","775.31K","0.78%"
"Aug 16, 2021","1,692.40","1,677.00","1,704.85","1,661.40","357.01K","0.94%"
"Aug 13, 2021","1,676.60","1,690.00","1,720.00","1,653.10","1.38M","0.44%"
"Aug 12, 2021","1,669.30","1,643.00","1,678.90","1,637.00","307.77K","1.73%"
"Aug 11, 2021","1,640.85","1,650.00","1,656.60","1,616.20","351.24K","0.13%"
"Aug 10, 2021","1,638.75","1,652.00","1,676.00","1,629.00","248.45K","-1.45%"
"Aug 09, 2021","1,662.80","1,646.50","1,676.85","1,629.00","764.98K","0.99%"
"Aug 06, 2021","1,646.50","1,658.75","1,661.95","1,641.15","292.43K","-0.15%"
"Aug 05, 2021","1,648.95","1,669.95","1,669.95","1,640.00","309.82K","-0.82%"
"Aug 04, 2021","1,662.55","1,679.40","1,694.70","1,656.45","318.77K","-0.97%"
"Aug 03, 2021","1,678.75","1,669.50","1,692.00","1,639.00","552.93K","0.94%"
"Aug 02, 2021","1,663.15","1,657.00","1,674.90","1,650.00","211.86K","0.96%"
"Jul 30, 2021","1,647.35","1,666.00","1,674.50","1,637.05","451.14K","-0.35%"
"Jul 29, 2021","1,653.20","1,675.00","1,678.20","1,640.30","551.48K","-0.85%"
"Jul 28, 2021","1,667.45","1,681.00","1,699.75","1,626.45","2.84M","-2.19%"
"Jul 27, 2021","1,704.85","1,731.05","1,749.70","1,691.85","612.94K","-2.04%"
"Jul 26, 2021","1,740.30","1,727.00","1,763.95","1,721.00","743.65K","0.76%"
"Jul 23, 2021","1,727.10","1,694.15","1,750.90","1,680.00","1.11M","1.94%"
"Jul 22, 2021","1,694.15","1,697.00","1,697.00","1,657.00","798.94K","1.21%"
"Jul 20, 2021","1,673.95","1,761.00","1,765.90","1,670.00","1.20M","-5.21%"
"Jul 19, 2021","1,765.90","1,800.00","1,800.00","1,760.15","526.82K","-2.39%"
"Jul 16, 2021","1,809.05","1,822.00","1,822.00","1,802.00","236.12K","-0.85%"
"Jul 15, 2021","1,824.65","1,822.55","1,860.00","1,816.00","759.00K","0.12%"
"Jul 14, 2021","1,822.55","1,823.00","1,828.60","1,810.10","543.34K","-0.10%"
"Jul 13, 2021","1,824.45","1,820.00","1,829.00","1,802.00","272.85K","0.66%"
"Jul 12, 2021","1,812.50","1,829.90","1,829.90","1,800.30","314.52K","0.18%"
"Jul 09, 2021","1,809.30","1,821.80","1,838.00","1,802.10","482.77K","-0.69%"
"Jul 08, 2021","1,821.95","1,820.00","1,843.30","1,805.50","841.11K","0.69%"
"Jul 07, 2021","1,809.50","1,769.00","1,813.65","1,769.00","695.75K","2.31%"
"Jul 06, 2021","1,768.65","1,780.00","1,810.00","1,759.00","1.46M","0.72%"
"Jul 05, 2021","1,755.95","1,729.00","1,760.00","1,720.00","545.08K","2.09%"
"Jul 02, 2021","1,719.95","1,742.60","1,742.60","1,708.15","440.45K","-1.30%"
"Jul 01, 2021","1,742.60","1,717.00","1,747.00","1,717.00","310.71K","1.49%"
"Jun 30, 2021","1,716.95","1,731.45","1,745.00","1,709.10","281.54K","-0.71%"
"Jun 29, 2021","1,729.25","1,731.85","1,752.95","1,722.00","354.02K","-0.02%"
"Jun 28, 2021","1,729.60","1,734.00","1,747.45","1,720.05","290.01K","0.08%"
"Jun 25, 2021","1,728.20","1,695.00","1,732.45","1,692.00","513.35K","2.25%"
"Jun 24, 2021","1,690.15","1,724.00","1,733.45","1,684.05","653.57K","-1.09%"
"Jun 23, 2021","1,708.85","1,723.00","1,743.60","1,702.10","574.75K","-0.50%"
"Jun 22, 2021","1,717.45","1,720.00","1,737.95","1,707.50","491.44K","-0.09%"
"Jun 21, 2021","1,719.00","1,690.00","1,725.00","1,676.05","519.41K","0.96%"
"Jun 18, 2021","1,702.70","1,708.00","1,716.25","1,665.10","477.01K","-0.28%"
"Jun 17, 2021","1,707.50","1,701.10","1,738.30","1,695.70","835.76K","-1.51%"
"Jun 16, 2021","1,733.70","1,780.00","1,783.45","1,728.00","893.43K","-3.13%"
"Jun 15, 2021","1,789.70","1,778.00","1,799.00","1,778.00","370.51K","0.75%"
"Jun 14, 2021","1,776.40","1,800.00","1,801.10","1,765.45","328.59K","-0.85%"
"Jun 11, 2021","1,791.65","1,805.00","1,811.10","1,778.05","605.77K","0.23%"
"Jun 10, 2021","1,787.45","1,801.00","1,812.85","1,771.50","650.87K","-0.31%"
"Jun 09, 2021","1,793.05","1,786.05","1,859.60","1,781.00","1.90M","0.49%"
"Jun 08, 2021","1,784.30","1,769.50","1,795.00","1,759.30","1.27M","1.64%"
"Jun 07, 2021","1,755.45","1,754.45","1,850.05","1,742.75","2.65M","0.06%"
"Jun 04, 2021","1,754.45","1,770.00","1,780.00","1,747.80","423.37K","-0.58%"
"Jun 03, 2021","1,764.60","1,772.10","1,784.65","1,749.90","449.01K","-0.00%"
"Jun 02, 2021","1,764.65","1,735.00","1,774.85","1,728.45","429.25K","1.09%"
"Jun 01, 2021","1,745.70","1,761.50","1,777.95","1,738.00","438.07K","-0.75%"
"May 31, 2021","1,758.90","1,792.00","1,831.15","1,732.00","1.49M","-0.97%"
"May 28, 2021","1,776.10","1,745.55","1,794.90","1,720.05","1.01M","2.03%"
"May 27, 2021","1,740.70","1,724.80","1,747.90","1,704.40","730.54K","0.96%"
"May 26, 2021","1,724.15","1,735.00","1,748.70","1,710.00","617.84K","0.29%"
"May 25, 2021","1,719.10","1,695.70","1,736.30","1,672.25","1.10M","2.14%"
"May 24, 2021","1,683.10","1,697.50","1,708.80","1,674.00","427.97K","-0.56%"
"May 21, 2021","1,692.50","1,661.00","1,704.05","1,661.00","512.80K","1.37%"
"May 20, 2021","1,669.60","1,683.00","1,694.40","1,657.00","550.26K","-1.18%"
"May 19, 2021","1,689.60","1,724.90","1,725.00","1,679.05","527.23K","-1.46%"
"May 18, 2021","1,714.70","1,710.00","1,724.85","1,692.70","524.72K","0.64%"
"May 17, 2021","1,703.75","1,694.00","1,709.05","1,670.00","347.53K","0.53%"
"May 14, 2021","1,694.75","1,695.00","1,715.00","1,680.00","731.40K","0.82%"
"May 12, 2021","1,680.90","1,679.90","1,694.10","1,658.50","413.11K","0.36%"
"May 11, 2021","1,674.95","1,670.00","1,712.60","1,664.65","1.16M","-0.16%"
"May 10, 2021","1,677.70","1,646.00","1,685.00","1,643.05","525.54K","2.26%"
"May 07, 2021","1,640.60","1,673.00","1,681.95","1,625.30","568.36K","-1.34%"
"May 06, 2021","1,662.95","1,637.80","1,683.00","1,637.80","646.32K","0.82%"
"May 05, 2021","1,649.35","1,633.00","1,664.00","1,596.60","767.45K","1.69%"
"May 04, 2021","1,621.95","1,685.00","1,685.00","1,615.70","484.05K","-2.66%"
"May 03, 2021","1,666.25","1,620.00","1,674.80","1,612.20","519.29K","1.39%"
"Apr 30, 2021","1,643.40","1,632.00","1,679.80","1,632.00","753.68K","-0.75%"
"Apr 29, 2021","1,655.85","1,649.90","1,664.00","1,638.20","516.71K","0.50%"
"Apr 28, 2021","1,647.55","1,640.10","1,656.40","1,633.10","553.53K","0.43%"
"Apr 27, 2021","1,640.50","1,576.00","1,650.00","1,565.00","1.02M","4.29%"
"Apr 26, 2021","1,573.05","1,545.00","1,585.00","1,545.00","565.96K","2.02%"
"Apr 23, 2021","1,541.85","1,549.30","1,549.30","1,505.25","646.25K","0.04%"
"Apr 22, 2021","1,541.30","1,520.00","1,565.00","1,520.00","619.44K","-0.84%"
"Apr 20, 2021","1,554.30","1,520.90","1,585.85","1,503.00","1.96M","1.73%"
"Apr 19, 2021","1,527.90","1,535.00","1,558.00","1,516.55","971.45K","-3.47%"
"Apr 16, 2021","1,582.90","1,604.00","1,616.45","1,576.40","546.57K","-1.67%"
"Apr 15, 2021","1,609.85","1,575.00","1,619.95","1,565.60","847.02K","0.26%"
"Apr 13, 2021","1,605.75","1,594.00","1,639.60","1,593.80","1.10M","0.75%"
"Apr 12, 2021","1,593.80","1,609.95","1,612.95","1,529.20","1.37M","-3.23%"
"Apr 09, 2021","1,646.95","1,621.55","1,663.70","1,608.00","624.30K","0.38%"
"Apr 08, 2021","1,640.75","1,596.70","1,648.95","1,595.65","812.68K","2.57%"
"Apr 07, 2021","1,599.65","1,590.00","1,612.00","1,581.60","860.36K","1.40%"
"Apr 06, 2021","1,577.60","1,564.00","1,590.80","1,546.55","1.07M","1.60%"
"Apr 05, 2021","1,552.70","1,601.00","1,609.90","1,525.00","1.71M","-3.95%"
"Apr 01, 2021","1,616.60","1,631.90","1,640.00","1,601.40","663.12K","-0.94%"
"Mar 31, 2021","1,631.95","1,585.00","1,655.00","1,579.80","1.28M","2.94%"
"Mar 30, 2021","1,585.40","1,602.00","1,629.70","1,575.20","1.23M","-1.71%"
"Mar 26, 2021","1,613.00","1,654.00","1,676.35","1,600.00","1.26M","-3.04%"
"Mar 25, 2021","1,663.55","1,727.00","1,742.00","1,650.00","1.43M","-4.08%"
"Mar 24, 2021","1,734.25","1,744.00","1,768.90","1,725.80","1.29M","-2.21%"
"Mar 23, 2021","1,773.45","1,700.00","1,782.00","1,700.00","2.79M","3.48%"
"Mar 22, 2021","1,713.85","1,663.60","1,727.85","1,626.25","2.23M","3.02%"
"Mar 19, 2021","1,663.60","1,712.00","1,730.00","1,651.00","1.38M","-3.28%"
"Mar 18, 2021","1,719.95","1,680.00","1,730.00","1,680.00","1.84M","1.44%"
"Mar 17, 2021","1,695.55","1,682.00","1,718.00","1,671.05","1.63M","0.80%"
"Mar 16, 2021","1,682.10","1,646.00","1,701.40","1,635.10","1.13M","1.21%"
"Mar 15, 2021","1,661.95","1,668.00","1,686.00","1,630.10","815.00K","-0.12%"
"Mar 12, 2021","1,663.95","1,687.90","1,705.00","1,657.35","530.24K","-1.22%"
"Mar 10, 2021","1,684.55","1,700.00","1,707.70","1,678.05","417.60K","-0.25%"
"Mar 09, 2021","1,688.70","1,707.90","1,727.45","1,659.00","1.27M","-1.12%"
"Mar 08, 2021","1,707.90","1,744.70","1,744.70","1,696.15","1.65M","-1.96%"
