"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 24, 2021","76.15","77.95","78.25","75.55","688.89K","-2.25%"
"Sep 23, 2021","77.90","78.70","79.20","77.55","595.77K","-0.45%"
"Sep 22, 2021","78.25","80.00","80.55","77.80","659.70K","-1.82%"
"Sep 21, 2021","79.70","78.55","80.80","77.05","1.59M","1.46%"
"Sep 20, 2021","78.55","79.00","82.65","77.60","2.70M","0.00%"
"Sep 17, 2021","78.55","77.00","81.95","76.65","4.76M","3.42%"
"Sep 16, 2021","75.95","77.75","77.75","75.00","678.94K","-0.39%"
"Sep 15, 2021","76.25","73.40","77.35","72.80","1.56M","5.98%"
"Sep 14, 2021","71.95","70.25","72.50","70.25","1.02M","3.08%"
"Sep 13, 2021","69.80","69.60","71.05","69.50","431.06K","0.22%"
"Sep 09, 2021","69.65","69.60","70.40","69.30","456.57K","0.07%"
"Sep 08, 2021","69.60","70.95","70.95","69.00","304.11K","-0.36%"
"Sep 07, 2021","69.85","71.50","71.90","69.40","632.47K","-0.71%"
"Sep 06, 2021","70.35","71.85","71.85","70.25","148.31K","-1.61%"
"Sep 03, 2021","71.50","71.70","73.00","70.45","1.15M","-0.21%"
"Sep 02, 2021","71.65","72.90","73.00","71.35","407.12K","-0.62%"
"Sep 01, 2021","72.10","71.90","73.55","71.25","614.27K","1.05%"
"Aug 31, 2021","71.35","71.15","72.45","70.50","341.12K","0.00%"
"Aug 30, 2021","71.35","72.60","72.65","71.00","215.66K","-2.19%"
"Aug 27, 2021","72.95","72.95","74.15","72.10","463.09K","2.67%"
"Aug 26, 2021","71.05","72.40","74.00","70.35","584.21K","-0.77%"
"Aug 25, 2021","71.60","69.10","72.35","68.30","745.23K","3.92%"
"Aug 24, 2021","68.90","66.70","69.35","65.70","297.11K","3.45%"
"Aug 23, 2021","66.60","67.55","69.30","65.60","571.93K","-0.67%"
"Aug 20, 2021","67.05","69.50","69.50","66.35","312.79K","-3.53%"
"Aug 18, 2021","69.50","72.00","72.60","68.20","375.92K","-3.34%"
"Aug 17, 2021","71.90","68.20","72.40","68.20","1.11M","4.66%"
"Aug 16, 2021","68.70","71.75","71.75","63.55","265.62K","-4.45%"
"Aug 13, 2021","71.90","72.40","73.35","71.20","751.66K","0.63%"
"Aug 12, 2021","71.45","67.80","72.50","67.80","643.72K","5.38%"
"Aug 11, 2021","67.80","69.70","69.70","65.90","313.77K","-0.88%"
"Aug 10, 2021","68.40","68.40","70.40","67.45","588.57K","0.00%"
"Aug 09, 2021","68.40","70.70","71.00","67.30","429.76K","-2.77%"
"Aug 06, 2021","70.35","71.00","71.20","69.80","460.87K","-0.64%"
"Aug 05, 2021","70.80","73.10","73.55","70.40","385.17K","-3.67%"
"Aug 04, 2021","73.50","74.40","75.15","73.10","493.18K","-1.21%"
"Aug 03, 2021","74.40","75.50","76.40","74.15","240.97K","-0.80%"
"Aug 02, 2021","75.00","75.95","75.95","74.60","307.28K","-0.20%"
"Jul 30, 2021","75.15","73.35","76.10","73.35","238.77K","1.35%"
"Jul 29, 2021","74.15","75.45","75.85","73.50","485.21K","-1.53%"
"Jul 28, 2021","75.30","75.90","76.00","74.30","205.18K","-0.99%"
"Jul 27, 2021","76.05","76.95","77.35","75.60","621.73K","-1.04%"
"Jul 26, 2021","76.85","77.65","78.10","76.55","159.59K","-1.03%"
"Jul 23, 2021","77.65","78.50","78.70","77.10","358.77K","-1.40%"
"Jul 22, 2021","78.75","76.00","80.10","75.70","991.16K","3.96%"
